timestamp,proceso,error_level,error_message,mensaje,log_category
2026-09-04 05:39:12.830,Server,,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,Microsoft SQL Server 2022 (RTM-CU26) (KB5093420) - 16.0.4265.3 (X64) Jul 7 2026 14:37:25 Copyright (C) 2022 Microsoft Corporation Developer Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>,INFO
2026-09-04 05:39:12.830,Server,,UTC adjustment: 0:00,UTC adjustment: 0:00,INFO
2026-09-04 05:39:12.830,Server,,(c) Microsoft Corporation.,(c) Microsoft Corporation.,INFO
2026-09-04 05:39:12.830,Server,,All rights reserved.,All rights reserved.,INFO
2026-09-04 05:39:12.840,Server,,Server process ID is 464.,Server process ID is 464.,INFO
2026-09-04 05:39:12.840,Server,,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.,ERROR
2026-09-04 05:39:12.840,Server,,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,Registry startup parameters: -d /var/opt/mssql/data/master.mdf -l /var/opt/mssql/data/mastlog.ldf -e /var/opt/mssql/log/errorlog,ERROR
2026-09-04 05:39:12.850,Server,,"SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.","SQL Server detected 1 sockets with 3 cores per socket and 6 logical processors per socket, 6 total logical processors; using 6 logical processors based on SQL Server licensing. This is an informational message; no user action is required.",INFO
2026-09-04 05:39:12.850,Server,,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.,STARTUP
2026-09-04 05:39:12.850,Server,,"Detected 3916 MB of RAM, 2871 MB of available memory, 2871 MB of available page file. This is an informational message; no user action is required.","Detected 3916 MB of RAM, 2871 MB of available memory, 2871 MB of available page file. This is an informational message; no user action is required.",INFO
2026-09-04 05:39:12.860,Server,,Using conventional memory in the memory manager.,Using conventional memory in the memory manager.,INFO
2026-09-04 05:39:12.860,Server,,Detected pause instruction latency: 140 cycles.,Detected pause instruction latency: 140 cycles.,PERFORMANCE
2026-09-04 05:39:12.860,Server,,"SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).","SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x000000000000003f).",CONFIGURATION
2026-09-04 05:39:12.870,Server,,Page exclusion bitmap is enabled.,Page exclusion bitmap is enabled.,INFO
2026-09-04 05:39:12.940,Server,,Buffer pool extension is not supported on Linux platform.,Buffer pool extension is not supported on Linux platform.,INFO
2026-09-04 05:39:12.940,Server,,Buffer Pool: Allocating 4194304 bytes for 451131 hashPages.,Buffer Pool: Allocating 4194304 bytes for 451131 hashPages.,INFO
2026-09-04 05:39:13.100,Server,,Buffer pool extension is already disabled. No action is necessary.,Buffer pool extension is already disabled. No action is necessary.,INFO
2026-09-04 05:39:13.600,Server,,Installing Client TLS certificates to the store.,Installing Client TLS certificates to the store.,INFO
2026-09-04 05:39:13.620,Server,,CPU vectorization level(s) detected: SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT),CPU vectorization level(s) detected: SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT),INFO
